	raw_read_count	postmerge_read_count	reads_screened_for_barcodes	reads_with_likely_barcodes	barcodes_post-agglomeration	non-singelton_barcodes_post-agglomeration	
EXP2_MC2_P07_CS03	5586	5467	5444	5287	5222	5101
EXP2_MC2_P07_CS04	1520	1466	1457	1419	1391	1338
EXP2_MC2_P07_CS05	5400	5310	5281	5138	5061	4946
EXP2_MC2_P07_CS06	1488	1407	1401	1350	1319	1233
EXP2_MC2_P07_CS07	2703	2544	2537	2462	2401	2309
EXP2_MC2_P07_CS08	2568	2496	2489	2402	2346	2173
EXP2_MC2_P07_CS09	162280	159332	158643	153265	152270	152016
EXP2_MC2_P07_CS10	114465	113696	113253	110527	110248	109936
EXP2_MC2_P07_CS11	28574	28277	28136	27434	27204	27060
EXP2_MC2_P07_CS12	10438	10378	10348	10104	10029	9922
EXP2_MC2_P07_CS13	274606	273237	272057	261359	260126	259888
EXP2_MC2_P07_CS14	908547	903557	899277	820057	818736	818097
EXP2_MC2_P07_CS15	114327	113666	113193	110021	109367	109094
EXP2_MC2_P07_CS16	563265	560676	558367	544858	544134	543781
EXP2_MC2_P07_CS17	690068	675189	672641	646829	642997	642809
EXP2_MC2_P07_CS18	63247	62849	62598	60772	60063	59873
EXP2_MC2_P07_CS19	798945	792899	789196	765645	764201	763995
EXP2_MC2_P07_CS20	828877	825119	821523	802591	801485	801154
EXP2_MC2_P07_CS21	645768	642627	639773	619505	617760	617363
EXP2_MC2_P07_CS22	929290	924938	920757	893171	892141	891585
EXP2_MC2_P07_CS23	542533	540096	537911	525609	525058	524456
EXP2_MC2_P07_CS24	155954	154625	154027	148926	147751	147534
EXP2_MC2_P07_CS25	1456001	1444105	1438747	1395376	1393188	1392818
EXP2_MC2_P07_CS26	228159	226700	225802	219645	218768	218512
EXP2_MC2_P07_CS27	1268182	1258843	1253935	1222642	1220743	1220464
EXP2_MC2_P07_CS28	758059	755086	752280	734629	733915	733545
EXP2_MC2_P07_CS29	584544	579260	577458	561774	560918	560452
EXP2_MC2_P07_CS30	904915	901292	897835	876268	875337	874964
EXP2_MC2_P07_CS31	311195	308556	307329	297130	296616	296387
EXP2_MC2_P07_CS32	1398517	1386263	1380751	1338511	1336131	1335848
EXP2_MC2_P07_CS33	757276	751773	748916	728430	726727	726482
EXP2_MC2_P10_CS01	937	918	916	891	860	785
EXP2_MC2_P10_CS02	319100	317844	316703	309344	308887	308500
EXP2_MC2_P10_CS03	1646	1622	1616	1571	1539	1420
EXP2_MC2_P10_CS04	13640	13580	13536	13180	13122	12972
EXP2_MC2_P10_CS05	3488	3455	3440	3323	3289	3217
EXP2_MC2_P10_CS06	9077	9016	8988	8753	8729	8642
EXP2_MC2_P10_CS07	512363	510297	508537	496763	496251	496046
EXP2_MC2_P10_CS08	2982	2915	2904	2815	2755	2661
EXP2_MC2_P10_CS09	97475	90350	89998	87921	87824	87665
EXP2_MC2_P10_CS10	2684	2509	2498	2363	2304	2237
EXP2_MC2_P10_CS11	7698	7637	7615	7419	7373	7246
EXP2_MC2_P10_CS12	1825	1814	1808	1764	1737	1638
EXP2_MC2_P10_CS13	822985	818132	815059	794876	792458	791963
EXP2_MC2_P10_CS14	419146	416864	415436	405258	404889	404492
EXP2_MC2_P10_CS15	3949	3899	3886	3794	3774	3696
EXP2_MC2_P10_CS16	3940	3845	3828	3674	3611	3459
EXP2_MC2_P10_CS17	738158	723681	721104	696964	695147	694897
EXP2_MC2_P10_CS18	5571	5508	5490	5342	5309	5175
EXP2_MC2_P10_CS19	300147	298866	297881	290333	289727	289450
EXP2_MC2_P10_CS20	809674	801982	799851	772721	769977	769456
EXP2_MC2_P10_CS21	1000049	995857	992366	967969	966844	966484
EXP2_MC2_P10_CS22	160265	159395	158856	154714	154222	154084
EXP2_MC2_P10_CS23	23565	23360	23293	22486	22188	22035
EXP2_MC2_P10_CS24	457935	455475	454081	442068	441048	440673
EXP2_MC2_P10_CS25	587764	584565	582629	566029	564808	564473
EXP2_MC2_P10_CS26	324212	321171	320117	310165	309289	308964
EXP2_MC2_P10_CS27	931556	925531	922556	891251	889918	889458
EXP2_MC2_P10_CS28	760242	755785	753584	732154	730839	730496
EXP2_MC2_P10_CS29	40145	39847	39706	38481	38062	37882
EXP2_MC2_P10_CS30	401861	399952	398862	387850	387079	386800
EXP2_MC2_P10_CS31	66490	65968	65732	63880	63479	63323
EXP2_MC2_P10_CS32	203705	201305	200698	193491	191952	191684
EXP2_MC2_P10_CS33	827779	822533	819799	791240	790051	789672
EXP2_MC3_P08_CS01	1965	1865	1859	1798	1750	1571
EXP2_MC3_P08_CS02	1263	1251	1249	1219	1178	1016
EXP2_MC3_P08_CS03	579	563	561	543	524	416
EXP2_MC3_P08_CS04	19340	19294	19189	18752	18706	18631
EXP2_MC3_P08_CS05	692	669	668	653	634	535
EXP2_MC3_P08_CS06	807	788	785	755	735	648
EXP2_MC3_P08_CS07	847	818	816	794	772	674
EXP2_MC3_P08_CS08	558	534	532	504	474	396
EXP2_MC3_P08_CS09	584	553	551	525	517	473
EXP2_MC3_P08_CS10	3255	3221	3207	3131	3103	3068
EXP2_MC3_P08_CS11	401	370	368	355	313	246
EXP2_MC3_P08_CS12	815	761	759	718	704	643
EXP2_MC3_P08_CS13	1560107	1501706	1495698	1427535	1426046	1425556
EXP2_MC3_P08_CS14	9621	9547	9506	9279	9218	9136
EXP2_MC3_P08_CS15	477	455	452	427	412	349
EXP2_MC3_P08_CS16	566	551	549	531	515	453
EXP2_MC3_P08_CS17	515720	507457	505375	483611	481477	481314
EXP2_MC3_P08_CS18	1009	927	924	898	870	796
EXP2_MC3_P08_CS19	2876	2787	2781	2700	2641	2460
EXP2_MC3_P08_CS20	476129	472181	470680	457328	456408	455946
EXP2_MC3_P08_CS21	706998	703906	702027	685949	684552	684045
EXP2_MC3_P08_CS22	83587	83205	82921	80911	80766	80661
EXP2_MC3_P08_CS23	1040	1001	999	942	864	715
EXP2_MC3_P08_CS24	2310	2228	2225	2169	2124	1985
EXP2_MC3_P08_CS25	4289	4136	4120	3909	3838	3750
EXP2_MC3_P08_CS26	4173	4105	4095	3996	3924	3766
EXP2_MC3_P08_CS27	14830	14670	14624	14076	13723	13523
EXP2_MC3_P08_CS28	10426	10301	10264	9885	9580	9430
EXP2_MC3_P08_CS29	406619	397730	396202	378466	375640	375285
EXP2_MC3_P08_CS30	2566	2192	2186	2102	2016	1856
EXP2_MC3_P08_CS31	2456	2204	2198	2107	2023	1703
EXP2_MC3_P08_CS32	240026	235666	234891	225065	224597	224295
EXP2_MC3_P08_CS33	569594	553342	551055	536658	535038	534667
EXP2_MC3_P11_CS01	23664	17875	17818	16844	16645	16366
EXP2_MC3_P11_CS02	1711	1479	1472	1400	1323	1013
EXP2_MC3_P11_CS03	154652	152229	151558	148325	148087	147798
EXP2_MC3_P11_CS04	328113	325416	324093	316248	316074	315762
EXP2_MC3_P11_CS05	1469	1297	1289	1229	1155	848
EXP2_MC3_P11_CS06	2198	2022	2012	1879	1840	1780
EXP2_MC3_P11_CS07	14529	14258	14204	13799	13749	13730
EXP2_MC3_P11_CS08	485268	480109	478156	463167	462386	462162
EXP2_MC3_P11_CS09	30028	29457	29357	28358	27090	26976
EXP2_MC3_P11_CS10	17143	16852	16768	16064	15425	15234
EXP2_MC3_P11_CS11	143590	140997	140451	134618	133976	133810
EXP2_MC3_P11_CS12	325760	321608	320325	308070	306919	306722
EXP2_MC3_P11_CS13	643309	630639	628271	602412	601358	601115
EXP2_MC3_P11_CS14	26283	25854	25744	24806	24009	23771
EXP2_MC3_P11_CS15	472808	467681	465887	447881	447172	446945
EXP2_MC3_P11_CS16	719706	712292	709222	681048	677865	677508
EXP2_MC3_P11_CS17	1619505	1590441	1583326	1523233	1520340	1520298
EXP2_MC3_P11_CS18	28420	28026	27885	26961	26237	26170
EXP2_MC3_P11_CS19	20482	20118	20024	19251	18239	18152
EXP2_MC3_P11_CS20	13392	11602	11566	11191	11060	10691
EXP2_MC3_P11_CS21	1565110	1546923	1542233	1495566	1493617	1493133
EXP2_MC3_P11_CS22	8439	8202	8174	7879	7655	7280
EXP2_MC3_P11_CS23	83198	81667	81403	78650	78332	78033
EXP2_MC3_P11_CS24	13818	12086	12046	11721	11588	11238
EXP2_MC3_P11_CS25	22376	19242	19184	18261	17923	17607
EXP2_MC3_P11_CS26	3549	3347	3325	3211	3110	2728
EXP2_MC3_P11_CS27	31877	30916	30811	29786	29653	29343
EXP2_MC3_P11_CS28	52750	51642	51469	49437	49230	48914
EXP2_MC3_P11_CS29	31086	30451	30326	29506	29316	28956
EXP2_MC3_P11_CS30	1967	1828	1822	1783	1762	1684
EXP2_MC3_P11_CS31	2397	2221	2217	2121	2101	2062
EXP2_MC3_P11_CS32	35134	33335	33210	31791	31707	31441
EXP2_MC3_P11_CS33	5434	5251	5228	5095	4975	4857
EXP2_MC4_P09_CS01	920	834	833	791	755	504
EXP2_MC4_P09_CS02	3194	2421	2418	2187	2065	1846
EXP2_MC4_P09_CS04	30156	28058	27944	27391	27327	27043
EXP2_MC4_P09_CS05	14801	12308	12276	11760	11615	11387
EXP2_MC4_P09_CS06	1296	1173	1169	1118	1046	734
EXP2_MC4_P09_CS07	6033	5105	5090	4945	4868	4640
EXP2_MC4_P09_CS08	567209	563519	561731	547573	547178	546875
EXP2_MC4_P09_CS10	2145	2076	2070	2027	1975	1721
EXP2_MC4_P09_CS11	1431	1303	1299	1233	1219	1155
EXP2_MC4_P09_CS13	25331	25163	25042	24412	24364	24329
EXP2_MC4_P09_CS14	24880	21665	21598	20998	20780	20463
EXP2_MC4_P09_CS15	3298	2962	2953	2866	2755	2570
EXP2_MC4_P09_CS17	2023227	1986492	1979564	1909110	1905931	1905902
EXP2_MC4_P09_CS18	1029853	1019292	1016402	982089	981094	980719
EXP2_MC4_P09_CS19	27082	25263	25174	24507	24392	24037
EXP2_MC4_P09_CS20	228351	223212	222499	214803	214331	213953
EXP2_MC4_P09_CS21	248649	245252	244414	238485	238028	237574
EXP2_MC4_P09_CS22	76503	75346	75102	72966	72836	72516
EXP2_MC4_P09_CS23	19250	17262	17212	16217	15934	15649
EXP2_MC4_P09_CS24	1745	1692	1682	1635	1566	1286
EXP2_MC4_P09_CS25	452883	449464	447772	431347	430485	430201
EXP2_MC4_P09_CS26	29370	29041	28927	28126	28033	27991
EXP2_MC4_P09_CS27	540169	532154	530487	513406	512694	512321
EXP2_MC4_P09_CS28	2535	2254	2248	2175	2077	1890
EXP2_MC4_P09_CS29	1534	1261	1257	1213	1155	848
EXP2_MC4_P09_CS30	276566	272555	271811	258258	257832	257475
EXP2_MC4_P09_CS31	896181	891507	888255	868079	867841	867487
EXP2_MC4_P09_CS32	331476	322878	321902	310942	310234	309879
EXP2_MC4_P09_CS33	4618	4366	4352	4241	4159	3855
EXP2_MC4_P12_CS02	4404	3341	3332	3156	3087	2812
EXP2_MC4_P12_CS03	10031	7355	7336	7008	6913	6621
EXP2_MC4_P12_CS06	1187	1114	1109	1078	1016	672
EXP2_MC4_P12_CS07	2139	1998	1994	1890	1872	1804
EXP2_MC4_P12_CS08	1948	1845	1838	1753	1721	1699
EXP2_MC4_P12_CS09	84469	81340	81045	78711	78524	78300
EXP2_MC4_P12_CS11	38781	38150	38037	36985	36904	36797
EXP2_MC4_P12_CS12	22356	22146	22049	21460	21408	21160
EXP2_MC4_P12_CS13	126096	124647	124111	120557	120311	120114
EXP2_MC4_P12_CS14	25290	24570	24455	23928	23868	23717
EXP2_MC4_P12_CS15	9103	7706	7686	7120	7004	6808
EXP2_MC4_P12_CS17	2209099	2166377	2156954	2064351	2059811	2059749
EXP2_MC4_P12_CS18	1057606	1042281	1038536	982790	981633	981216
EXP2_MC4_P12_CS19	14797	13809	13757	13125	13057	12890
EXP2_MC4_P12_CS20	12454	12118	12072	11279	11193	10987
EXP2_MC4_P12_CS21	13921	13615	13556	13197	13151	13099
EXP2_MC4_P12_CS22	1137	1052	1045	989	979	963
EXP2_MC4_P12_CS23	52120	49922	49803	47891	47348	47037
EXP2_MC4_P12_CS25	301202	290391	289557	277645	276387	276093
EXP2_MC4_P12_CS26	6946	6820	6808	6612	6497	6199
EXP2_MC4_P12_CS27	214737	211288	210711	202922	202310	202052
EXP2_MC4_P12_CS28	30357	28714	28608	27503	27315	26928
EXP2_MC4_P12_CS29	46862	42578	42451	40479	40219	39890
EXP2_MC4_P12_CS30	3374	3221	3213	3089	2993	2634
EXP2_MC4_P12_CS31	14449	13971	13937	13358	13281	13004
EXP2_MC4_P12_CS32	200424	196835	196227	189054	188823	188499
EXP2_MC4_P12_CS33	719714	703930	701506	674350	671870	671555
EXP3_KD_P13_CS01	10523	10142	10057	9728	9658	9403
EXP3_KD_P13_CS02	8715	8410	8350	8020	7976	7769
EXP3_KD_P13_CS03	12700	12211	12112	11558	11479	11138
EXP3_KD_P13_CS04	11056	10635	10555	10186	10097	9770
EXP3_KD_P13_CS05	12059	11659	11571	11210	11146	10943
EXP3_KD_P13_CS06	10847	10417	10317	9544	9465	9201
EXP3_KD_P13_CS07	9331	9002	8924	8405	8326	8041
EXP3_KD_P13_CS08	8803	8500	8434	8099	8028	7703
EXP3_KD_P13_CS09	13093	12649	12528	12108	12028	11727
EXP3_KD_P13_CS10	8603	8315	8246	7994	7952	7731
EXP3_KD_P13_CS11	13226	12754	12625	12252	12167	11866
EXP3_KD_P13_CS12	12649	12213	12094	11635	11543	11184
EXP3_KD_P13_CS13	13197	12588	12483	11950	11772	11289
EXP3_KD_P13_CS14	12153	11635	11548	11074	10942	10486
EXP3_KD_P13_CS15	10755	10369	10270	9902	9764	9316
EXP3_KD_P13_CS16	10301	9973	9902	9611	9528	9193
EXP3_KD_P13_CS17	13741	13048	12946	12306	12075	11415
EXP3_KD_P13_CS18	13074	12698	12587	12141	12059	11767
EXP3_KD_P13_CS19	15396	14874	14760	14254	14142	13741
EXP3_KD_P13_CS20	14189	13515	13415	12725	12541	11995
EXP3_KD_P13_CS21	15662	15025	14908	14236	14092	13550
EXP3_KD_P13_CS22	15340	14746	14621	13892	13720	13221
EXP3_KD_P13_CS23	13655	13132	13013	12527	12355	11818
EXP3_KD_P13_CS24	12672	12269	12197	11621	11536	11158
EXP3_KD_P13_CS25	5984	5818	5773	5588	5550	5299
EXP3_KD_P13_CS26	5716	5545	5502	5342	5287	4999
EXP3_KD_P13_CS27	6300	6082	6042	5791	5749	5442
EXP3_KD_P13_CS28	7597	7381	7311	7021	6919	6522
EXP3_KD_P13_CS29	7317	7089	7037	6791	6741	6417
EXP3_KD_P13_CS30	7191	6938	6880	6624	6575	6289
EXP3_KD_P13_CS31	5828	5676	5635	5444	5390	5109
